date,open,high,low,close,volume
2024-04-15 06:30:00+00:00,42.99,43.4,39.1,39.78,62077774.0
2024-04-16 06:30:00+00:00,39.75,41.17,39.21,40.54,62696179.0
2024-04-17 06:30:00+00:00,40.6,40.85,36.64,37.06,85426553.0
2024-04-18 06:30:00+00:00,36.04,36.8,34.53,34.91,91529687.0
2024-04-19 06:30:00+00:00,33.96,34.58,30.2,30.79,105240109.0
2024-04-22 06:30:00+00:00,31.58,32.85,30.5,32.07,65096873.0
2024-04-23 06:30:00+00:00,32.82,34.66,32.59,34.11,66511466.0
2024-04-24 06:30:00+00:00,36.91,37.48,34.6,35.49,80370060.0
2024-04-25 06:30:00+00:00,35.28,38.18,34.64,37.41,80677603.0
2024-04-26 06:30:00+00:00,37.32,40.29,37.005,39.8,59041749.0
2024-04-29 06:30:00+00:00,39.6,40.83,38.71,40.61,51120689.0
2024-04-30 06:30:00+00:00,40.08,41.49,38.12,38.18,56304155.0
2024-05-01 06:30:00+00:00,36.08,38.06,33.65,34.37,97290300.0
2024-05-02 06:30:00+00:00,35.98,36.91,34.1201,36.45,56653375.0
2024-05-03 06:30:00+00:00,38.75,39.58,38.1032,38.97,58599402.0
2024-05-06 06:30:00+00:00,39.97,41.38,39.48,41.3,48404839.0
2024-05-07 06:30:00+00:00,41.53,41.9099,40.28,40.36,51508419.0
2024-05-08 06:30:00+00:00,39.06,40.5018,38.96,40.41,53735098.0
2024-05-09 06:30:00+00:00,40.4,40.62,39.31,39.96,39132713.0
2024-05-10 06:30:00+00:00,41.15,42.24,40.515,41.03,47048410.0
2024-05-13 06:30:00+00:00,41.6,42.07,41.075,41.27,30565380.0
2024-05-14 06:30:00+00:00,41.18,43.4385,41.05,43.21,41581510.0
2024-05-15 06:30:00+00:00,44.67,47.07,43.99,47.0,58063530.0
2024-05-16 06:30:00+00:00,46.96,48.0301,46.21,46.26,46325513.0
2024-05-17 06:30:00+00:00,47.015,47.38,44.33,45.4,40965757.0
2024-05-20 06:30:00+00:00,45.96,49.3,45.81,48.25,55103238.0
2024-05-21 06:30:00+00:00,46.55,48.19,46.41,47.98,36437199.0
2024-05-22 06:30:00+00:00,49.25,50.0,48.1,49.38,55487831.0
2024-05-23 06:30:00+00:00,53.15,53.2,47.55,48.81,81175939.0
2024-05-24 06:30:00+00:00,50.02,52.072,49.35,51.44,48477370.0
2024-05-28 06:30:00+00:00,53.34,54.89,51.75,54.04,50658369.0
2024-05-29 06:30:00+00:00,51.15,51.92,50.65,50.98,42965595.0
2024-05-30 06:30:00+00:00,50.84,51.34,48.98,50.0,38609193.0
2024-05-31 06:30:00+00:00,50.3,50.72,44.38,48.59,72522794.0
2024-06-03 06:30:00+00:00,50.81,50.93,46.1201,48.59,53127300.0
2024-06-04 06:30:00+00:00,48.46,48.65,46.43,47.59,46692540.0
2024-06-05 06:30:00+00:00,50.03,53.87,49.565,53.52,66560146.0
2024-06-06 06:30:00+00:00,53.79,53.79,51.23,52.51,43947636.0
2024-06-07 06:30:00+00:00,52.228,52.9,50.81,51.87,50248675.0
2024-06-10 06:30:00+00:00,50.52,54.58,50.4203,53.95,43860888.0
2024-06-11 06:30:00+00:00,53.38,54.48,51.7,54.17,37695741.0
2024-06-12 06:30:00+00:00,57.245,59.45,56.81,58.72,73759285.0
2024-06-13 06:30:00+00:00,60.07,61.49,58.3,60.86,45660674.0
2024-06-14 06:30:00+00:00,58.95,60.5499,58.35,60.1,39111978.0
2024-06-17 06:30:00+00:00,61.0,63.15,58.95,62.67,54742622.0
2024-06-18 06:30:00+00:00,63.42,66.19,63.1,65.24,47069134.0
2024-06-20 06:30:00+00:00,65.52,65.8255,58.79,60.02,60852933.0
2024-06-21 06:30:00+00:00,58.42,60.18,56.03,58.2,50355095.0
2024-06-24 06:30:00+00:00,56.45,57.49,53.03,53.22,54326351.0
2024-06-25 06:30:00+00:00,54.23,55.45,52.35,55.3,44272493.0
2024-06-26 06:30:00+00:00,55.16,56.22,52.85,54.78,41093441.0
2024-06-27 06:30:00+00:00,54.33,55.58,52.82,53.8,35417036.0
2024-06-28 06:30:00+00:00,54.87,58.581,54.085,55.36,55584636.0
2024-07-01 06:30:00+00:00,55.36,55.55,52.25,55.36,43334974.0
2024-07-02 06:30:00+00:00,54.36,57.75,54.28,57.6,45011674.0
2024-07-03 06:30:00+00:00,58.1,61.515,57.18,60.39,40242701.0
2024-07-05 06:30:00+00:00,61.862,62.38,59.79,60.81,38395406.0
2024-07-08 06:30:00+00:00,62.26,64.5,62.2,64.31,42861612.0
2024-07-09 06:30:00+00:00,65.13,66.145,62.42,64.25,41946653.0
2024-07-10 06:30:00+00:00,65.89,69.0,65.0128,68.59,48280845.0
2024-07-11 06:30:00+00:00,70.01,70.08,61.22,61.99,75368530.0
2024-07-12 06:30:00+00:00,62.84,67.3,61.65,63.94,51046397.0
2024-07-15 06:30:00+00:00,64.945,66.76,63.0501,64.14,48228686.0
2024-07-16 06:30:00+00:00,65.02,65.59,62.23,65.3,39846361.0
2024-07-17 06:30:00+00:00,58.6,59.3,51.2223,51.55,99429836.0
2024-07-18 06:30:00+00:00,54.16,54.17,49.12,51.66,94172559.0
2024-07-19 06:30:00+00:00,51.78,52.37,46.75,47.0,75969060.0
2024-07-22 06:30:00+00:00,50.05,52.95,48.8124,52.93,73675303.0
2024-07-23 06:30:00+00:00,50.5,52.0721,50.0,50.53,50181645.0
